Company,Industry,Funding_Amount_USD,Investor,Year,City,Standard_Industry,Total_Funding_USD,Avg_Funding_USD,Funding_Rounds,First_Funding_Year,Latest_Funding_Year,Month,Quarter,Startup_Age_2026,GDP_Growth,Inflation,FDI_Inflow,Sector_Funding_YoY_Growth
Moglix,FoodTech,186000000,Tiger Global,2023,Gurgaon,FoodTech & AgriTech,1282000000,160250000.0,8,2010,2025,7,3,16,7.6,5.7,41.0,-0.37373737373737376
Infra.Market,Logistics,36000000,General Atlantic,2013,Bangalore,Logistics & Mobility,543000000,90500000.0,6,2010,2024,1,1,16,7.0,4.5,45.0,-0.7885714285714286
Snapdeal,Insurance,103000000,Alibaba,2017,Gurgaon,FinTech,602000000,120400000.0,5,2010,2018,9,3,16,6.8,3.33,44.8,1.0889679715302492
Zepto,Gaming,98000000,General Atlantic,2023,Mumbai,Media & Entertainment,1078000000,179666666.66666666,6,2013,2025,6,2,13,7.6,5.7,41.0,0.4075829383886256
PhonePe,SaaS,286000000,Info Edge,2024,Gurgaon,SaaS & Enterprise,970000000,138571428.57142857,7,2014,2024,8,3,12,8.2,4.8,45.0,3.5396825396825395
OYO Rooms,Transportation,126000000,Y Combinator,2012,Bangalore,Logistics & Mobility,422000000,140666666.66666666,3,2012,2022,10,4,14,7.0,4.5,45.0,0.7948717948717948
Unacademy,Logistics,210000000,General Atlantic,2016,Pune,Logistics & Mobility,704000000,176000000.0,4,2010,2019,10,4,16,8.26,4.9,43.4,1.589928057553957
Zomato,Fintech,140000000,Accel,2022,Bangalore,FinTech,658000000,219333333.33333334,3,2011,2022,7,3,15,7.24,6.7,46.0,0.5458515283842795
Boat,EdTech,102000000,Accel,2014,Pune,EdTech,1136000000,189333333.33333334,6,2010,2025,5,2,16,7.0,4.5,45.0,-0.7671232876712328
Meesho,FoodTech,34000000,Sequoia Capital,2020,Bangalore,FoodTech & AgriTech,665000000,95000000.0,7,2012,2023,7,3,14,-5.83,6.62,64.9,23.916666666666668
Zomato,Healthcare,265000000,General Atlantic,2011,Mumbai,HealthTech & BioTech,658000000,219333333.33333334,3,2011,2022,7,3,15,7.0,4.5,45.0,0.0
BYJU's,Fintech,211000000,Tiger Global,2017,Gurgaon,FinTech,1245000000,177857142.85714287,7,2012,2021,7,3,14,6.8,3.33,44.8,1.0889679715302492
Razorpay,Healthcare,219000000,Info Edge,2012,Bangalore,HealthTech & BioTech,552000000,92000000.0,6,2012,2024,9,3,14,7.0,4.5,45.0,0.47924528301886793
Cars24,Healthcare,109000000,Steadview Capital,2018,Hyderabad,HealthTech & BioTech,882000000,176400000.0,5,2014,2023,7,3,12,6.45,3.94,42.1,-0.6980609418282548
PolicyBazaar,FoodTech,158000000,Naspers,2014,Chennai,FoodTech & AgriTech,763000000,190750000.0,4,2010,2022,1,1,16,7.0,4.5,45.0,-0.37943262411347517
Boat,Hospitality,239000000,Bessemer Venture,2010,Gurgaon,Travel & Hospitality,1136000000,189333333.33333334,6,2010,2025,5,2,16,7.0,4.5,45.0,0.0
Acko,Healthcare,264000000,Tiger Global,2016,Gurgaon,HealthTech & BioTech,644000000,161000000.0,4,2012,2016,5,2,14,8.26,4.9,43.4,3.297872340425532
Freshworks,Fintech,130000000,Bessemer Venture,2012,Hyderabad,FinTech,1530000000,139090909.0909091,11,2010,2023,11,4,16,7.0,4.5,45.0,-0.6947115384615384
CarDekho,EdTech,275000000,SoftBank,2019,Pune,EdTech,717000000,119500000.0,6,2010,2025,9,3,16,3.87,3.73,50.6,0.41687344913151364
Ola Cabs,Retail,73000000,Falcon Edge,2013,Noida,E-Commerce & Retail,915000000,152500000.0,6,2013,2025,9,3,13,7.0,4.5,45.0,0.8709677419354839
Freshworks,E-commerce,144000000,Bessemer Venture,2014,Gurgaon,E-Commerce & Retail,1530000000,139090909.0909091,11,2010,2023,11,4,16,7.0,4.5,45.0,-0.25862068965517243
Meesho,Healthcare,140000000,Info Edge,2016,Hyderabad,HealthTech & BioTech,665000000,95000000.0,7,2012,2023,7,3,14,8.26,4.9,43.4,3.297872340425532
Navi,SaaS,221000000,Naspers,2012,Bangalore,SaaS & Enterprise,579000000,144750000.0,4,2012,2025,5,2,14,7.0,4.5,45.0,0.6870229007633588
PhonePe,Transportation,139000000,Sequoia Capital,2014,Hyderabad,Logistics & Mobility,970000000,138571428.57142857,7,2014,2024,8,3,12,7.0,4.5,45.0,0.8783783783783784
Unacademy,Insurance,62000000,General Atlantic,2010,Chennai,FinTech,704000000,176000000.0,4,2010,2019,10,4,16,7.0,4.5,45.0,0.0
Swiggy,Insurance,194000000,Bessemer Venture,2011,Mumbai,FinTech,1169000000,167000000.0,7,2010,2020,7,3,16,7.0,4.5,45.0,6.3628318584070795
Cars24,Gaming,26000000,SoftBank,2014,Chennai,Media & Entertainment,882000000,176400000.0,5,2014,2023,7,3,12,7.0,4.5,45.0,-0.8343949044585988
ShareChat,Hospitality,112000000,Bessemer Venture,2021,Bangalore,Travel & Hospitality,828000000,118285714.28571428,7,2011,2021,10,4,15,9.05,5.13,59.6,0.9310344827586207
Delhivery,Retail,84000000,Tiger Global,2023,Hyderabad,E-Commerce & Retail,1119000000,124333333.33333333,9,2013,2024,10,4,13,7.6,5.7,41.0,0.1
Delhivery,Fintech,17000000,Lightspeed India,2023,Mumbai,FinTech,1119000000,124333333.33333333,9,2013,2024,10,4,13,7.6,5.7,41.0,0.1751412429378531
Udaan,Insurance,132000000,Bessemer Venture,2023,Hyderabad,FinTech,455000000,151666666.66666666,3,2013,2023,6,2,13,7.6,5.7,41.0,0.1751412429378531
PhonePe,Fintech,24000000,Lightspeed India,2022,Gurgaon,FinTech,970000000,138571428.57142857,7,2014,2024,8,3,12,7.24,6.7,46.0,0.5458515283842795
Groww,FoodTech,161000000,Info Edge,2021,Pune,FoodTech & AgriTech,877000000,146166666.66666666,6,2013,2024,6,2,13,9.05,5.13,59.6,-0.46153846153846156
UrbanClap,FoodTech,173000000,Sequoia Capital,2022,Delhi,FoodTech & AgriTech,1044000000,174000000.0,6,2011,2022,10,4,15,7.24,6.7,46.0,0.84472049689441
PhonePe,E-commerce,265000000,Lightspeed India,2021,Noida,E-Commerce & Retail,970000000,138571428.57142857,7,2014,2024,8,3,12,9.05,5.13,59.6,4.035714285714286
Snapdeal,Retail,64000000,Falcon Edge,2010,Hyderabad,E-Commerce & Retail,602000000,120400000.0,5,2010,2018,9,3,16,7.0,4.5,45.0,0.0
Freshworks,Fintech,60000000,WestBridge Capital,2011,Noida,FinTech,1530000000,139090909.0909091,11,2010,2023,11,4,16,7.0,4.5,45.0,6.3628318584070795
NoBroker,Logistics,266000000,Alibaba,2023,Hyderabad,Logistics & Mobility,1128000000,225600000.0,5,2012,2023,9,3,14,7.6,5.7,41.0,-0.6077922077922078
Razorpay,Logistics,27000000,Bessemer Venture,2018,Delhi,Logistics & Mobility,552000000,92000000.0,6,2012,2024,9,3,14,6.45,3.94,42.1,0.6071428571428571
Infra.Market,Transportation,225000000,Steadview Capital,2021,Delhi,Logistics & Mobility,543000000,90500000.0,6,2010,2024,1,1,16,9.05,5.13,59.6,5.208955223880597
Swiggy,Retail,68000000,Bessemer Venture,2020,Hyderabad,E-Commerce & Retail,1169000000,167000000.0,7,2010,2020,7,3,16,-5.83,6.62,64.9,-0.8230647709320695
ShareChat,Gaming,211000000,Naspers,2020,Chennai,Media & Entertainment,828000000,118285714.28571428,7,2011,2021,10,4,15,-5.83,6.62,64.9,-0.3193548387096774
Meesho,Gaming,199000000,SoftBank,2023,Delhi,Media & Entertainment,665000000,95000000.0,7,2012,2023,7,3,14,7.6,5.7,41.0,0.4075829383886256
Udaan,Healthcare,285000000,WestBridge Capital,2022,Noida,HealthTech & BioTech,455000000,151666666.66666666,3,2013,2023,6,2,13,7.24,6.7,46.0,7.367816091954023
Ola Cabs,EdTech,169000000,Naspers,2023,Delhi,EdTech,915000000,152500000.0,6,2013,2025,9,3,13,7.6,5.7,41.0,1.9649122807017543
Boat,SaaS,91000000,General Atlantic,2025,Delhi,SaaS & Enterprise,1136000000,189333333.33333334,6,2010,2025,5,2,16,7.0,4.5,48.0,0.6713286713286714
BYJU's,EdTech,125000000,Steadview Capital,2012,Hyderabad,EdTech,1245000000,177857142.85714287,7,2012,2021,7,3,14,7.0,4.5,45.0,0.0
ShareChat,FoodTech,17000000,Lightspeed India,2014,Delhi,FoodTech & AgriTech,828000000,118285714.28571428,7,2011,2021,10,4,15,7.0,4.5,45.0,-0.37943262411347517
Paytm,FoodTech,217000000,General Atlantic,2024,Gurgaon,FoodTech & AgriTech,909000000,181800000.0,5,2012,2025,6,2,14,8.2,4.8,45.0,0.16666666666666666
Blinkit,FoodTech,209000000,Matrix Partners,2025,Chennai,FoodTech & AgriTech,697000000,174250000.0,4,2013,2025,8,3,13,7.0,4.5,48.0,-0.03686635944700461
Delhivery,Fintech,222000000,Y Combinator,2013,Bangalore,FinTech,1119000000,124333333.33333333,9,2013,2024,10,4,13,7.0,4.5,45.0,-0.08267716535433071
UrbanClap,Fintech,290000000,Lightspeed India,2011,Pune,FinTech,1044000000,174000000.0,6,2011,2022,10,4,15,7.0,4.5,45.0,6.3628318584070795
Delhivery,E-commerce,276000000,General Atlantic,2024,Mumbai,E-Commerce & Retail,1119000000,124333333.33333333,9,2013,2024,10,4,13,8.2,4.8,45.0,0.5736677115987461
Dunzo,Healthcare,285000000,Alibaba,2023,Pune,HealthTech & BioTech,975000000,195000000.0,5,2016,2023,6,2,10,7.6,5.7,41.0,-0.6085164835164835
Mamaearth,Fintech,137000000,Matrix Partners,2024,Pune,FinTech,992000000,165333333.33333334,6,2010,2025,10,4,16,8.2,4.8,45.0,-0.16105769230769232
Delhivery,Retail,145000000,Naspers,2017,Pune,E-Commerce & Retail,1119000000,124333333.33333333,9,2013,2024,10,4,13,6.8,3.33,44.8,1.5174418604651163
Mamaearth,E-commerce,144000000,Matrix Partners,2017,Noida,E-Commerce & Retail,992000000,165333333.33333334,6,2010,2025,10,4,16,6.8,3.33,44.8,1.5174418604651163
Dream11,Hospitality,82000000,Bessemer Venture,2014,Gurgaon,Travel & Hospitality,481000000,96200000.0,5,2012,2020,8,3,14,7.0,4.5,45.0,-0.10869565217391304
UrbanClap,Logistics,37000000,Matrix Partners,2016,Mumbai,Logistics & Mobility,1044000000,174000000.0,6,2011,2022,10,4,15,8.26,4.9,43.4,1.589928057553957
Moglix,Logistics,36000000,Alibaba,2023,Pune,Logistics & Mobility,1282000000,160250000.0,8,2010,2025,7,3,16,7.6,5.7,41.0,-0.6077922077922078
PhysicsWallah,Logistics,249000000,Accel,2022,Bangalore,Logistics & Mobility,496000000,248000000.0,2,2017,2022,2,1,9,7.24,6.7,46.0,-0.07451923076923077
Ola Cabs,Hospitality,280000000,Naspers,2023,Chennai,Travel & Hospitality,915000000,152500000.0,6,2013,2025,9,3,13,7.6,5.7,41.0,4.053571428571429
CureFit,Services,117000000,WestBridge Capital,2025,Delhi,SaaS & Enterprise,1529000000,169888888.8888889,9,2011,2025,8,3,15,7.0,4.5,48.0,0.6713286713286714
PhonePe,Logistics,177000000,General Atlantic,2022,Bangalore,Logistics & Mobility,970000000,138571428.57142857,7,2014,2024,8,3,12,7.24,6.7,46.0,-0.07451923076923077
Snapdeal,Insurance,278000000,SoftBank,2014,Pune,FinTech,602000000,120400000.0,5,2010,2018,9,3,16,7.0,4.5,45.0,0.19313304721030042
Flipkart,Logistics,224000000,WestBridge Capital,2012,Bangalore,Logistics & Mobility,643000000,214333333.33333334,3,2010,2019,9,3,16,7.0,4.5,45.0,0.7948717948717948
CRED,SaaS,199000000,SoftBank,2018,Bangalore,SaaS & Enterprise,328000000,82000000.0,4,2013,2023,5,2,13,6.45,3.94,42.1,2.2804232804232805
PolicyBazaar,FoodTech,199000000,General Atlantic,2020,Hyderabad,FoodTech & AgriTech,763000000,190750000.0,4,2010,2022,1,1,16,-5.83,6.62,64.9,23.916666666666668
PhonePe,Services,46000000,Falcon Edge,2018,Chennai,SaaS & Enterprise,970000000,138571428.57142857,7,2014,2024,8,3,12,6.45,3.94,42.1,2.2804232804232805
Groww,Transportation,119000000,Matrix Partners,2021,Bangalore,Logistics & Mobility,877000000,146166666.66666666,6,2013,2024,6,2,13,9.05,5.13,59.6,5.208955223880597
Swiggy,Services,131000000,Y Combinator,2010,Bangalore,SaaS & Enterprise,1169000000,167000000.0,7,2010,2020,7,3,16,7.0,4.5,45.0,0.0
Zepto,Transportation,69000000,WestBridge Capital,2017,Mumbai,Logistics & Mobility,1078000000,179666666.66666666,6,2013,2025,6,2,13,6.8,3.33,44.8,-0.45555555555555555
Groww,Retail,136000000,Tiger Global,2024,Delhi,E-Commerce & Retail,877000000,146166666.66666666,6,2013,2024,6,2,13,8.2,4.8,45.0,0.5736677115987461
CarDekho,Fintech,164000000,WestBridge Capital,2015,Gurgaon,FinTech,717000000,119500000.0,6,2010,2025,9,3,16,7.0,4.5,45.0,-0.41007194244604317
OYO Rooms,Healthcare,208000000,Sequoia Capital,2022,Noida,HealthTech & BioTech,422000000,140666666.66666666,3,2012,2022,10,4,14,7.24,6.7,46.0,7.367816091954023
Zepto,E-commerce,159000000,WestBridge Capital,2013,Delhi,E-Commerce & Retail,1078000000,179666666.66666666,6,2013,2025,6,2,13,7.0,4.5,45.0,0.8709677419354839
NoBroker,Services,277000000,Tiger Global,2021,Bangalore,SaaS & Enterprise,1128000000,225600000.0,5,2012,2023,9,3,14,9.05,5.13,59.6,0.5748663101604278
Infra.Market,Retail,11000000,Alibaba,2020,Gurgaon,E-Commerce & Retail,543000000,90500000.0,6,2010,2024,1,1,16,-5.83,6.62,64.9,-0.8230647709320695
Moglix,SaaS,240000000,Tiger Global,2021,Chennai,SaaS & Enterprise,1282000000,160250000.0,8,2010,2025,7,3,16,9.05,5.13,59.6,0.5748663101604278
Nykaa,Logistics,243000000,SoftBank,2025,Noida,Logistics & Mobility,299000000,149500000.0,2,2020,2025,6,2,6,7.0,4.5,48.0,-0.19536423841059603
Infra.Market,Insurance,130000000,WestBridge Capital,2020,Noida,FinTech,543000000,90500000.0,6,2010,2024,1,1,16,-5.83,6.62,64.9,-0.4583333333333333
BYJU's,EdTech,242000000,Bessemer Venture,2017,Pune,EdTech,1245000000,177857142.85714287,7,2012,2021,7,3,14,6.8,3.33,44.8,9.075
Blinkit,Healthcare,19000000,Y Combinator,2020,Chennai,HealthTech & BioTech,697000000,174250000.0,4,2013,2025,8,3,13,-5.83,6.62,64.9,-0.8256880733944955
CoinDCX,Hospitality,186000000,SoftBank,2016,Pune,Travel & Hospitality,186000000,186000000.0,1,2016,2016,8,3,10,8.26,4.9,43.4,1.2682926829268293
Freshworks,Hospitality,269000000,Naspers,2010,Noida,Travel & Hospitality,1530000000,139090909.0909091,11,2010,2023,11,4,16,7.0,4.5,45.0,0.0
Zepto,E-commerce,289000000,Info Edge,2025,Chennai,E-Commerce & Retail,1078000000,179666666.66666666,6,2013,2025,6,2,13,7.0,4.5,48.0,0.1952191235059761
Delhivery,Insurance,13000000,General Atlantic,2024,Pune,FinTech,1119000000,124333333.33333333,9,2013,2024,10,4,13,8.2,4.8,45.0,-0.16105769230769232
BYJU's,EdTech,161000000,Info Edge,2017,Chennai,EdTech,1245000000,177857142.85714287,7,2012,2021,7,3,14,6.8,3.33,44.8,9.075
Cars24,Hospitality,286000000,General Atlantic,2023,Hyderabad,Travel & Hospitality,882000000,176400000.0,5,2014,2023,7,3,12,7.6,5.7,41.0,4.053571428571429
Dream11,Hospitality,161000000,Matrix Partners,2018,Pune,Travel & Hospitality,481000000,96200000.0,5,2012,2020,8,3,14,6.45,3.94,42.1,0.5
Freshworks,FoodTech,66000000,Tiger Global,2020,Delhi,FoodTech & AgriTech,1530000000,139090909.0909091,11,2010,2023,11,4,16,-5.83,6.62,64.9,23.916666666666668
CureFit,Services,115000000,Matrix Partners,2016,Mumbai,SaaS & Enterprise,1529000000,169888888.8888889,9,2011,2025,8,3,15,8.26,4.9,43.4,-0.03951367781155015
Groww,EdTech,104000000,Matrix Partners,2013,Noida,EdTech,877000000,146166666.66666666,6,2013,2024,6,2,13,7.0,4.5,45.0,2.504
Meesho,FoodTech,12000000,Alibaba,2019,Mumbai,FoodTech & AgriTech,665000000,95000000.0,7,2012,2023,7,3,14,3.87,3.73,50.6,-0.8441558441558441
CureFit,Fintech,288000000,Naspers,2011,Bangalore,FinTech,1529000000,169888888.8888889,9,2011,2025,8,3,15,7.0,4.5,45.0,6.3628318584070795
Meesho,Insurance,11000000,SoftBank,2013,Pune,FinTech,665000000,95000000.0,7,2012,2023,7,3,14,7.0,4.5,45.0,-0.08267716535433071
Blinkit,EdTech,179000000,General Atlantic,2024,Pune,EdTech,697000000,174250000.0,4,2013,2025,8,3,13,8.2,4.8,45.0,0.09467455621301775
Udaan,Transportation,38000000,Naspers,2013,Pune,Logistics & Mobility,455000000,151666666.66666666,3,2013,2023,6,2,13,7.0,4.5,45.0,-0.7885714285714286
Snapdeal,SaaS,81000000,Tiger Global,2014,Bangalore,SaaS & Enterprise,602000000,120400000.0,5,2010,2018,9,3,16,7.0,4.5,45.0,0.48868778280542985
Blinkit,EdTech,290000000,Tiger Global,2013,Delhi,EdTech,697000000,174250000.0,4,2013,2025,8,3,13,7.0,4.5,45.0,2.504
Moglix,Healthcare,235000000,WestBridge Capital,2022,Delhi,HealthTech & BioTech,1282000000,160250000.0,8,2010,2025,7,3,16,7.24,6.7,46.0,7.367816091954023
Mamaearth,EdTech,296000000,Falcon Edge,2019,Chennai,EdTech,992000000,165333333.33333334,6,2010,2025,10,4,16,3.87,3.73,50.6,0.41687344913151364
Acko,Transportation,113000000,WestBridge Capital,2016,Gurgaon,Logistics & Mobility,644000000,161000000.0,4,2012,2016,5,2,14,8.26,4.9,43.4,1.589928057553957
Freshworks,Retail,93000000,Tiger Global,2017,Mumbai,E-Commerce & Retail,1530000000,139090909.0909091,11,2010,2023,11,4,16,6.8,3.33,44.8,1.5174418604651163
Dunzo,E-commerce,235000000,SoftBank,2023,Bangalore,E-Commerce & Retail,975000000,195000000.0,5,2016,2023,6,2,10,7.6,5.7,41.0,0.1
NoBroker,SaaS,152000000,Naspers,2017,Bangalore,SaaS & Enterprise,1128000000,225600000.0,5,2012,2023,9,3,14,6.8,3.33,44.8,-0.40189873417721517
Meesho,Insurance,124000000,Falcon Edge,2012,Pune,FinTech,665000000,95000000.0,7,2012,2023,7,3,14,7.0,4.5,45.0,-0.6947115384615384
Freshworks,Services,63000000,Lightspeed India,2023,Delhi,SaaS & Enterprise,1530000000,139090909.0909091,11,2010,2023,11,4,16,7.6,5.7,41.0,-0.8698347107438017
CureFit,FoodTech,77000000,Y Combinator,2018,Mumbai,FoodTech & AgriTech,1529000000,169888888.8888889,9,2011,2025,8,3,15,6.45,3.94,42.1,-0.7038461538461539
Swiggy,Transportation,229000000,SoftBank,2019,Noida,Logistics & Mobility,1169000000,167000000.0,7,2010,2020,7,3,16,3.87,3.73,50.6,-0.273015873015873
Razorpay,SaaS,144000000,Matrix Partners,2022,Noida,SaaS & Enterprise,552000000,92000000.0,6,2012,2024,9,3,14,7.24,6.7,46.0,-0.17826825127334464
Navi,Gaming,25000000,General Atlantic,2012,Pune,Media & Entertainment,579000000,144750000.0,4,2012,2025,5,2,14,7.0,4.5,45.0,0.0
Infra.Market,Insurance,51000000,Alibaba,2010,Noida,FinTech,543000000,90500000.0,6,2010,2024,1,1,16,7.0,4.5,45.0,0.0
UrbanClap,Retail,300000000,Falcon Edge,2018,Bangalore,E-Commerce & Retail,1044000000,174000000.0,6,2011,2022,10,4,15,6.45,3.94,42.1,0.74364896073903
Paytm,Services,270000000,Lightspeed India,2025,Mumbai,SaaS & Enterprise,909000000,181800000.0,5,2012,2025,6,2,14,7.0,4.5,48.0,0.6713286713286714
Mamaearth,EdTech,51000000,SoftBank,2025,Chennai,EdTech,992000000,165333333.33333334,6,2010,2025,10,4,16,7.0,4.5,48.0,-0.7243243243243244
Groww,Hospitality,58000000,Accel,2020,Hyderabad,Travel & Hospitality,877000000,146166666.66666666,6,2013,2024,6,2,13,-5.83,6.62,64.9,-0.7238095238095238
Unacademy,Hospitality,210000000,Accel,2019,Pune,Travel & Hospitality,704000000,176000000.0,4,2010,2019,10,4,16,3.87,3.73,50.6,-0.4927536231884058
Dunzo,Transportation,134000000,General Atlantic,2020,Gurgaon,Logistics & Mobility,975000000,195000000.0,5,2016,2023,6,2,10,-5.83,6.62,64.9,-0.4148471615720524
PolicyBazaar,E-commerce,282000000,Lightspeed India,2010,Chennai,E-Commerce & Retail,763000000,190750000.0,4,2010,2022,1,1,16,7.0,4.5,45.0,0.0
Boat,Logistics,260000000,Sequoia Capital,2021,Delhi,Logistics & Mobility,1136000000,189333333.33333334,6,2010,2025,5,2,16,9.05,5.13,59.6,5.208955223880597
Mamaearth,Services,286000000,Sequoia Capital,2018,Delhi,SaaS & Enterprise,992000000,165333333.33333334,6,2010,2025,10,4,16,6.45,3.94,42.1,2.2804232804232805
CRED,EdTech,19000000,General Atlantic,2013,Pune,EdTech,328000000,82000000.0,4,2013,2023,5,2,13,7.0,4.5,45.0,2.504
NoBroker,Services,287000000,Info Edge,2019,Mumbai,SaaS & Enterprise,1128000000,225600000.0,5,2012,2023,9,3,14,3.87,3.73,50.6,-0.5370967741935484
