Company,Industry,Funding_Amount_USD,Investor,Year,City,Standard_Industry
Flipkart,E-commerce,127000000,Bessemer Venture,2019,Hyderabad,E-Commerce & Retail
Zomato,FoodTech,253000000,Bessemer Venture,2012,Gurgaon,FoodTech & AgriTech
Swiggy,Services,248000000,Steadview Capital,2014,Mumbai,SaaS & Enterprise
Dunzo,Fintech,281000000,Naspers,2016,Chennai,FinTech
Zepto,Insurance,229000000,Naspers,2021,Chennai,FinTech
Tata 1mg,SaaS,37000000,Tiger Global,2017,Delhi,SaaS & Enterprise
Dream11,Transportation,8000000,WestBridge Capital,2017,Delhi,Logistics & Mobility
Swiggy,Insurance,39000000,Y Combinator,2017,Bangalore,FinTech
Paytm,Hospitality,253000000,Tiger Global,2018,Delhi,Travel & Hospitality
PhysicsWallah,Gaming,247000000,SoftBank,2017,Pune,Media & Entertainment
Moglix,FoodTech,186000000,Tiger Global,2023,Gurgaon,FoodTech & AgriTech
Infra.Market,Logistics,36000000,General Atlantic,2013,Bangalore,Logistics & Mobility
Snapdeal,Insurance,103000000,Alibaba,2017,Gurgaon,FinTech
Zepto,Gaming,98000000,General Atlantic,2023,Mumbai,Media & Entertainment
PhonePe,SaaS,286000000,Info Edge,2024,Gurgaon,SaaS & Enterprise
OYO Rooms,Transportation,126000000,Y Combinator,2012,Bangalore,Logistics & Mobility
Unacademy,Logistics,210000000,General Atlantic,2016,Pune,Logistics & Mobility
Zomato,Fintech,140000000,Accel,2022,Bangalore,FinTech
Boat,EdTech,102000000,Accel,2014,Pune,EdTech
Meesho,FoodTech,34000000,Sequoia Capital,2020,Bangalore,FoodTech & AgriTech
Zomato,Healthcare,265000000,General Atlantic,2011,Mumbai,HealthTech & BioTech
BYJU's,Fintech,211000000,Tiger Global,2017,Gurgaon,FinTech
Razorpay,Healthcare,219000000,Info Edge,2012,Bangalore,HealthTech & BioTech
Cars24,Healthcare,109000000,Steadview Capital,2018,Hyderabad,HealthTech & BioTech
PolicyBazaar,FoodTech,158000000,Naspers,2014,Chennai,FoodTech & AgriTech
Boat,Hospitality,239000000,Bessemer Venture,2010,Gurgaon,Travel & Hospitality
Acko,Healthcare,264000000,Tiger Global,2016,Gurgaon,HealthTech & BioTech
Freshworks,Fintech,130000000,Bessemer Venture,2012,Hyderabad,FinTech
CarDekho,EdTech,275000000,SoftBank,2019,Pune,EdTech
Ola Cabs,Retail,73000000,Falcon Edge,2013,Noida,E-Commerce & Retail
Freshworks,E-commerce,144000000,Bessemer Venture,2014,Gurgaon,E-Commerce & Retail
Meesho,Healthcare,140000000,Info Edge,2016,Hyderabad,HealthTech & BioTech
Navi,SaaS,221000000,Naspers,2012,Bangalore,SaaS & Enterprise
PhonePe,Transportation,139000000,Sequoia Capital,2014,Hyderabad,Logistics & Mobility
Unacademy,Insurance,62000000,General Atlantic,2010,Chennai,FinTech
Swiggy,Insurance,194000000,Bessemer Venture,2011,Mumbai,FinTech
Cars24,Gaming,26000000,SoftBank,2014,Chennai,Media & Entertainment
ShareChat,Hospitality,112000000,Bessemer Venture,2021,Bangalore,Travel & Hospitality
Delhivery,Retail,84000000,Tiger Global,2023,Hyderabad,E-Commerce & Retail
Delhivery,Fintech,17000000,Lightspeed India,2023,Mumbai,FinTech
Udaan,Insurance,132000000,Bessemer Venture,2023,Hyderabad,FinTech
PhonePe,Fintech,24000000,Lightspeed India,2022,Gurgaon,FinTech
Groww,FoodTech,161000000,Info Edge,2021,Pune,FoodTech & AgriTech
UrbanClap,FoodTech,173000000,Sequoia Capital,2022,Delhi,FoodTech & AgriTech
PhonePe,E-commerce,265000000,Lightspeed India,2021,Noida,E-Commerce & Retail
Snapdeal,Retail,64000000,Falcon Edge,2010,Hyderabad,E-Commerce & Retail
Freshworks,Fintech,60000000,WestBridge Capital,2011,Noida,FinTech
NoBroker,Logistics,266000000,Alibaba,2023,Hyderabad,Logistics & Mobility
Razorpay,Logistics,27000000,Bessemer Venture,2018,Delhi,Logistics & Mobility
Infra.Market,Transportation,225000000,Steadview Capital,2021,Delhi,Logistics & Mobility
Swiggy,Retail,68000000,Bessemer Venture,2020,Hyderabad,E-Commerce & Retail
ShareChat,Gaming,211000000,Naspers,2020,Chennai,Media & Entertainment
Meesho,Gaming,199000000,SoftBank,2023,Delhi,Media & Entertainment
Udaan,Healthcare,285000000,WestBridge Capital,2022,Noida,HealthTech & BioTech
Ola Cabs,EdTech,169000000,Naspers,2023,Delhi,EdTech
Boat,SaaS,91000000,General Atlantic,2025,Delhi,SaaS & Enterprise
BYJU's,EdTech,125000000,Steadview Capital,2012,Hyderabad,EdTech
ShareChat,FoodTech,17000000,Lightspeed India,2014,Delhi,FoodTech & AgriTech
Paytm,FoodTech,217000000,General Atlantic,2024,Gurgaon,FoodTech & AgriTech
Blinkit,FoodTech,209000000,Matrix Partners,2025,Chennai,FoodTech & AgriTech
Delhivery,Fintech,222000000,Y Combinator,2013,Bangalore,FinTech
UrbanClap,Fintech,290000000,Lightspeed India,2011,Pune,FinTech
Delhivery,E-commerce,276000000,General Atlantic,2024,Mumbai,E-Commerce & Retail
Dunzo,Healthcare,285000000,Alibaba,2023,Pune,HealthTech & BioTech
Mamaearth,Fintech,137000000,Matrix Partners,2024,Pune,FinTech
Delhivery,Retail,145000000,Naspers,2017,Pune,E-Commerce & Retail
Mamaearth,E-commerce,144000000,Matrix Partners,2017,Noida,E-Commerce & Retail
Dream11,Hospitality,82000000,Bessemer Venture,2014,Gurgaon,Travel & Hospitality
UrbanClap,Logistics,37000000,Matrix Partners,2016,Mumbai,Logistics & Mobility
Moglix,Logistics,36000000,Alibaba,2023,Pune,Logistics & Mobility
PhysicsWallah,Logistics,249000000,Accel,2022,Bangalore,Logistics & Mobility
Ola Cabs,Hospitality,280000000,Naspers,2023,Chennai,Travel & Hospitality
CureFit,Services,117000000,WestBridge Capital,2025,Delhi,SaaS & Enterprise
PhonePe,Logistics,177000000,General Atlantic,2022,Bangalore,Logistics & Mobility
Snapdeal,Insurance,278000000,SoftBank,2014,Pune,FinTech
Flipkart,Logistics,224000000,WestBridge Capital,2012,Bangalore,Logistics & Mobility
CRED,SaaS,199000000,SoftBank,2018,Bangalore,SaaS & Enterprise
PolicyBazaar,FoodTech,199000000,General Atlantic,2020,Hyderabad,FoodTech & AgriTech
PhonePe,Services,46000000,Falcon Edge,2018,Chennai,SaaS & Enterprise
Groww,Transportation,119000000,Matrix Partners,2021,Bangalore,Logistics & Mobility
Swiggy,Services,131000000,Y Combinator,2010,Bangalore,SaaS & Enterprise
Zepto,Transportation,69000000,WestBridge Capital,2017,Mumbai,Logistics & Mobility
Groww,Retail,136000000,Tiger Global,2024,Delhi,E-Commerce & Retail
CarDekho,Fintech,164000000,WestBridge Capital,2015,Gurgaon,FinTech
OYO Rooms,Healthcare,208000000,Sequoia Capital,2022,Noida,HealthTech & BioTech
Zepto,E-commerce,159000000,WestBridge Capital,2013,Delhi,E-Commerce & Retail
NoBroker,Services,277000000,Tiger Global,2021,Bangalore,SaaS & Enterprise
Infra.Market,Retail,11000000,Alibaba,2020,Gurgaon,E-Commerce & Retail
Moglix,SaaS,240000000,Tiger Global,2021,Chennai,SaaS & Enterprise
Nykaa,Logistics,243000000,SoftBank,2025,Noida,Logistics & Mobility
Infra.Market,Insurance,130000000,WestBridge Capital,2020,Noida,FinTech
BYJU's,EdTech,242000000,Bessemer Venture,2017,Pune,EdTech
Blinkit,Healthcare,19000000,Y Combinator,2020,Chennai,HealthTech & BioTech
CoinDCX,Hospitality,186000000,SoftBank,2016,Pune,Travel & Hospitality
Freshworks,Hospitality,269000000,Naspers,2010,Noida,Travel & Hospitality
Zepto,E-commerce,289000000,Info Edge,2025,Chennai,E-Commerce & Retail
Delhivery,Insurance,13000000,General Atlantic,2024,Pune,FinTech
BYJU's,EdTech,161000000,Info Edge,2017,Chennai,EdTech
Cars24,Hospitality,286000000,General Atlantic,2023,Hyderabad,Travel & Hospitality
Dream11,Hospitality,161000000,Matrix Partners,2018,Pune,Travel & Hospitality
Freshworks,FoodTech,66000000,Tiger Global,2020,Delhi,FoodTech & AgriTech
CureFit,Services,115000000,Matrix Partners,2016,Mumbai,SaaS & Enterprise
Groww,EdTech,104000000,Matrix Partners,2013,Noida,EdTech
Meesho,FoodTech,12000000,Alibaba,2019,Mumbai,FoodTech & AgriTech
CureFit,Fintech,288000000,Naspers,2011,Bangalore,FinTech
Meesho,Insurance,11000000,SoftBank,2013,Pune,FinTech
Blinkit,EdTech,179000000,General Atlantic,2024,Pune,EdTech
Udaan,Transportation,38000000,Naspers,2013,Pune,Logistics & Mobility
Snapdeal,SaaS,81000000,Tiger Global,2014,Bangalore,SaaS & Enterprise
Blinkit,EdTech,290000000,Tiger Global,2013,Delhi,EdTech
Moglix,Healthcare,235000000,WestBridge Capital,2022,Delhi,HealthTech & BioTech
Mamaearth,EdTech,296000000,Falcon Edge,2019,Chennai,EdTech
Acko,Transportation,113000000,WestBridge Capital,2016,Gurgaon,Logistics & Mobility
Freshworks,Retail,93000000,Tiger Global,2017,Mumbai,E-Commerce & Retail
Dunzo,E-commerce,235000000,SoftBank,2023,Bangalore,E-Commerce & Retail
NoBroker,SaaS,152000000,Naspers,2017,Bangalore,SaaS & Enterprise
Meesho,Insurance,124000000,Falcon Edge,2012,Pune,FinTech
Freshworks,Services,63000000,Lightspeed India,2023,Delhi,SaaS & Enterprise
CureFit,FoodTech,77000000,Y Combinator,2018,Mumbai,FoodTech & AgriTech
Swiggy,Transportation,229000000,SoftBank,2019,Noida,Logistics & Mobility
Razorpay,SaaS,144000000,Matrix Partners,2022,Noida,SaaS & Enterprise
Navi,Gaming,25000000,General Atlantic,2012,Pune,Media & Entertainment
Infra.Market,Insurance,51000000,Alibaba,2010,Noida,FinTech
UrbanClap,Retail,300000000,Falcon Edge,2018,Bangalore,E-Commerce & Retail
Paytm,Services,270000000,Lightspeed India,2025,Mumbai,SaaS & Enterprise
Mamaearth,EdTech,51000000,SoftBank,2025,Chennai,EdTech
Groww,Hospitality,58000000,Accel,2020,Hyderabad,Travel & Hospitality
Unacademy,Hospitality,210000000,Accel,2019,Pune,Travel & Hospitality
Dunzo,Transportation,134000000,General Atlantic,2020,Gurgaon,Logistics & Mobility
PolicyBazaar,E-commerce,282000000,Lightspeed India,2010,Chennai,E-Commerce & Retail
Boat,Logistics,260000000,Sequoia Capital,2021,Delhi,Logistics & Mobility
Mamaearth,Services,286000000,Sequoia Capital,2018,Delhi,SaaS & Enterprise
CRED,EdTech,19000000,General Atlantic,2013,Pune,EdTech
NoBroker,Services,287000000,Info Edge,2019,Mumbai,SaaS & Enterprise
Ola Cabs,Gaming,63000000,Accel,2017,Gurgaon,Media & Entertainment
Boat,E-commerce,154000000,Y Combinator,2025,Mumbai,E-Commerce & Retail
Navi,Insurance,246000000,Naspers,2025,Chennai,FinTech
Delhivery,SaaS,102000000,Steadview Capital,2022,Mumbai,SaaS & Enterprise
NoBroker,Gaming,146000000,Matrix Partners,2012,Mumbai,Media & Entertainment
Moglix,Hospitality,149000000,Bessemer Venture,2010,Noida,Travel & Hospitality
ShareChat,Healthcare,233000000,WestBridge Capital,2014,Pune,HealthTech & BioTech
CureFit,SaaS,238000000,Alibaba,2022,Hyderabad,SaaS & Enterprise
PolicyBazaar,FoodTech,124000000,Matrix Partners,2022,Delhi,FoodTech & AgriTech
Moglix,Transportation,202000000,Alibaba,2022,Pune,Logistics & Mobility
Nykaa,SaaS,56000000,Sequoia Capital,2020,Mumbai,SaaS & Enterprise
Mamaearth,E-commerce,78000000,Steadview Capital,2010,Pune,E-Commerce & Retail
Moglix,Retail,140000000,SoftBank,2025,Gurgaon,E-Commerce & Retail
Dream11,Healthcare,173000000,Matrix Partners,2012,Chennai,HealthTech & BioTech
CureFit,Logistics,40000000,Alibaba,2011,Pune,Logistics & Mobility
Delhivery,Retail,51000000,Y Combinator,2017,Noida,E-Commerce & Retail
Infra.Market,E-commerce,90000000,Lightspeed India,2024,Gurgaon,E-Commerce & Retail
ShareChat,Transportation,155000000,Sequoia Capital,2011,Hyderabad,Logistics & Mobility
BigBasket,Hospitality,276000000,Accel,2017,Mumbai,Travel & Hospitality
Moglix,Healthcare,94000000,Y Combinator,2015,Mumbai,HealthTech & BioTech
BYJU's,Healthcare,259000000,Falcon Edge,2017,Chennai,HealthTech & BioTech
Cars24,Fintech,240000000,Info Edge,2018,Pune,FinTech
Freshworks,Retail,284000000,Sequoia Capital,2019,Pune,E-Commerce & Retail
Unacademy,E-commerce,222000000,General Atlantic,2019,Hyderabad,E-Commerce & Retail
Freshworks,SaaS,201000000,Falcon Edge,2016,Noida,SaaS & Enterprise
Groww,E-commerce,299000000,Info Edge,2021,Chennai,E-Commerce & Retail
Meesho,Insurance,145000000,Naspers,2022,Bangalore,FinTech
Ola Cabs,Healthcare,151000000,Falcon Edge,2025,Bangalore,HealthTech & BioTech
UrbanClap,Healthcare,102000000,Lightspeed India,2017,Hyderabad,HealthTech & BioTech
Acko,EdTech,25000000,Y Combinator,2013,Mumbai,EdTech
ShareChat,Services,72000000,General Atlantic,2021,Bangalore,SaaS & Enterprise
BYJU's,EdTech,107000000,Alibaba,2015,Chennai,EdTech
CRED,Services,89000000,Steadview Capital,2018,Hyderabad,SaaS & Enterprise
Freshworks,SaaS,63000000,Lightspeed India,2020,Noida,SaaS & Enterprise
Boat,E-commerce,290000000,SoftBank,2022,Delhi,E-Commerce & Retail
CarDekho,E-commerce,140000000,Lightspeed India,2010,Chennai,E-Commerce & Retail
CureFit,E-commerce,200000000,General Atlantic,2018,Hyderabad,E-Commerce & Retail
CarDekho,E-commerce,17000000,Y Combinator,2025,Delhi,E-Commerce & Retail
Acko,Gaming,242000000,Alibaba,2012,Delhi,Media & Entertainment
ShareChat,Retail,28000000,Accel,2014,Gurgaon,E-Commerce & Retail
